Id,Age,Height,Eye_Color,Hair_Color,Gender,Plate_Number,Car_Make,Car_Model
414658,55,59,"brown","Red","Male","OJY2W5","Ford","Fiesta"
429987,71,71,"brown","White","Female","34I5OM","Ford","Club Wagon"
442548,38,59,"brown","Red","Male","602617","Ford","Crown Victoria"
449880,54,75,"brown","Grey","Female","X22MX2","Ford","Ranger"
450213,51,72,"brown","Black","Female","3PJ78P","Ford","E-Series"
459039,86,57,"brown","White","Female","M7DBON","Ford","Contour"
464422,25,61,"brown","Blue","Male","R7L5D5","Ford","Mustang"
473133,31,82,"brown","Red","Female","CR3RY7","Ford","Expedition"
474049,60,81,"brown","Black","Female","8H86NC","Ford","Flex"
476505,80,73,"brown","Red","Male","GE1B5T","Ford","Thunderbird"
500515,52,50,"brown","Grey","Female","3EIQMF","Ford","Focus"
504743,24,79,"brown","Grey","Female","848GGE","Ford","Crown Victoria"
505807,44,62,"brown","Black","Female","5M6L5S","Ford","F450"
510073,42,52,"brown","Black","Female","HWCFSF","Ford","E-Series"
516290,29,59,"brown","Red","Female","2PB371","Ford","Ranger"
518641,50,55,"brown","Blue","Female","3B2O1R","Ford","Focus"
521721,55,68,"brown","Red","Male","L45TX6","Ford","F150"
527021,78,70,"brown","Blue","Male","XP5E14","Ford","F-Series Super Duty"
532141,36,64,"brown","Brown","Female","4PXKMU","Ford","Edge"
537162,22,74,"brown","Black","Female","NOIRV6","Ford","Fusion"
540286,74,72,"brown","White","Female","32V38L","Ford","E150"
550383,34,79,"brown","Green","Female","M7052X","Ford","Explorer"
552892,25,66,"brown","Green","Female","Y71M46","Ford","Focus ST"
565251,72,78,"brown","Blue","Female","12KUW8","Ford","F350"
569084,56,68,"brown","White","Female","X45F2L","Ford","Escape"
573061,85,79,"brown","White","Female","5L0X81","Ford","F-Series"
577837,46,79,"brown","Brown","Male","KF4ULI","Ford","Taurus"
585174,25,67,"brown","Green","Male","LCX1W4","Ford","F150"
589083,77,59,"brown","Black","Male","6UWOQH","Ford","Transit Connect"
599371,70,58,"brown","Green","Male","ML6E5O","Ford","F150"
600115,23,63,"brown","Blue","Female","Y0MG3R","Ford","E-Series"
604233,31,73,"brown","Black","Female","138703","Ford","Excursion"
606431,37,59,"brown","Grey","Female","R54ZB1","Ford","Fusion"
607389,84,53,"brown","Blonde","Male","4YT884","Ford","E150"
610284,61,80,"brown","Green","Male","20M765","Ford","Thunderbird"
617705,18,52,"brown","Black","Female","1013HU","Ford","Mustang"
618446,43,74,"brown","Green","Male","ZN5A3A","Ford","Explorer Sport"
632762,54,71,"brown","Red","Male","70074V","Ford","Explorer Sport Trac"
636340,50,60,"brown","Black","Female","6806A2","Ford","Mustang"
640848,25,69,"brown","Blonde","Female","TI107G","Ford","F150"
641473,82,64,"brown","Grey","Female","260Y3Q","Ford","Taurus"
656884,70,60,"brown","Red","Male","1776Q3","Ford","Ranger"
670723,63,62,"brown","Green","Female","SLZ6Z3","Ford","Expedition"
671002,84,77,"brown","Blue","Female","618V67","Ford","F150"
673274,24,68,"brown","White","Male","51ZBIM","Ford","E350"
680444,82,67,"brown","Black","Female","6M4130","Ford","Ranger"
687055,82,71,"brown","Blue","Male","HT4II6","Ford","E250"
690167,89,58,"brown","Blonde","Male","SDEGL6","Ford","Edge"
691438,85,68,"brown","Brown","Male","DP574S","Ford","Mustang"
701026,39,71,"brown","Grey","Male","I50ANM","Ford","F350"
701038,28,55,"brown","Blonde","Male","8TIQ87","Ford","Explorer"
701735,44,81,"brown","Green","Female","0T17YR","Ford","Ranger"
704267,54,77,"brown","Black","Male","7Y0U36","Ford","Escape"
706734,51,54,"brown","Grey","Female","3JA6DB","Ford","Escort"
708039,82,67,"brown","Red","Female","DZE32N","Ford","F150"
708382,52,75,"brown","Grey","Male","47AIJZ","Ford","Ranger"
712075,47,51,"brown","Grey","Female","RIM6H5","Ford","Taurus"
720224,85,58,"brown","Grey","Male","6RD2V1","Ford","Taurus"
723844,53,59,"brown","Brown","Male","5VKU51","Ford","Contour"
729996,48,81,"brown","Black","Male","UU52ER","Ford","Fiesta"
732223,80,65,"brown","Black","Male","38CHAU","Ford","Excursion"
735613,64,71,"brown","Grey","Male","01TFEH","Ford","Explorer Sport"
738343,33,71,"brown","Green","Female","FY4OWK","Ford","Mustang"
744904,79,56,"brown","Blue","Male","5I465V","Ford","Freestar"
748480,26,52,"brown","Red","Female","Y1F5A6","Ford","Escape"
749028,85,76,"brown","Blue","Female","38VY63","Ford","Fiesta"
752548,49,53,"brown","Black","Male","7FJ45E","Ford","Excursion"
756099,86,54,"brown","White","Female","7T0KV4","Ford","F350"
768359,55,79,"brown","Blue","Male","7KUZD0","Ford","E250"
769001,81,76,"brown","Black","Male","Q5XOT2","Ford","F250"
773549,32,77,"brown","Black","Male","U2Z333","Ford","Mustang"
773608,70,58,"brown","Red","Male","32I72F","Ford","Crown Victoria"
784511,36,56,"brown","Black","Female","GAD54G","Ford","E-Series"
787270,70,66,"brown","Red","Female","Z746G5","Ford","Escape"
791783,79,73,"brown","Blonde","Female","8AU60K","Ford","Edge"
804161,34,56,"brown","Grey","Male","P1DG1X","Ford","Thunderbird"
811515,45,60,"brown","Blonde","Male","5N2810","Ford","Edge"
816376,69,57,"brown","Grey","Female","M8H50O","Ford","Focus"
826329,54,70,"brown","Black","Female","6DWRC1","Ford","Explorer Sport"
826752,57,71,"brown","Blonde","Female","1ID268","Ford","F-Series"
827049,67,75,"brown","White","Female","B8QTAH","Ford","Thunderbird"
829402,70,56,"brown","White","Male","FN201C","Ford","Expedition"
834729,21,61,"brown","Red","Female","KI2384","Ford","Explorer Sport"
862489,79,75,"brown","Red","Male","K001S8","Ford","E150"
862927,35,62,"brown","Green","Male","7GVDVT","Ford","Explorer"
868787,37,59,"brown","Blue","Male","86RB80","Ford","F350"
872936,25,77,"brown","Blonde","Male","R3S567","Ford","E150"
878756,35,56,"brown","Black","Male","487258","Ford","F250"
884279,66,76,"brown","Blonde","Female","6I6Y0I","Ford","Explorer Sport"
904147,89,51,"brown","White","Female","35FSA4","Ford","Explorer Sport Trac"
913669,19,80,"brown","Green","Female","2X1E62","Ford","Ranger"
917095,58,77,"brown","Brown","Female","EJ8751","Ford","Flex"
927703,19,74,"brown","Brown","Female","JV2E18","Ford","Expedition"
931228,48,78,"brown","Brown","Female","1W2QXC","Ford","Taurus"
934028,56,81,"brown","Brown","Female","4P8CYY","Ford","E-Series"
937967,66,78,"brown","White","Female","O07CC5","Ford","Focus"
942074,78,78,"brown","Blonde","Female","Z6ADM1","Ford","Mustang"
946595,27,70,"brown","Blonde","Male","41QR0Z","Ford","F-Series"
957722,86,78,"brown","Black","Male","KKZU1C","Ford","F350"
958405,23,73,"brown","Green","Male","2C0AG3","Ford","Econoline E250"
960371,74,82,"brown","Black","Female","TH548A","Ford","Econoline E150"
965083,55,76,"brown","Green","Female","7KQT2Z","Ford","Expedition EL"
969217,75,74,"brown","Black","Male","J75C82","Ford","Econoline E350"
973313,20,63,"brown","Green","Male","G0HBA8","Ford","E250"
973564,28,74,"brown","Red","Male","37X4A3","Ford","Expedition"
973657,71,78,"brown","Grey","Male","477P4M","Ford","Econoline E150"
973824,40,50,"brown","Blue","Female","LEJ771","Ford","F250"
984316,71,69,"brown","Blue","Female","A7C62H","Ford","E150"
986990,68,50,"brown","Brown","Male","2487BN","Ford","E150"
987460,78,81,"brown","Green","Male","B7W21L","Ford","Escort"
991082,87,81,"brown","Red","Male","T44541","Ford","Thunderbird"
113884,31,66,"brown","Green","Male","RAI837","Chevrolet","Silverado 1500"
139551,84,76,"brown","Red","Male","0FIXDW","Chevrolet","Traverse"
142920,78,72,"brown","Grey","Male","H24VYV","Chevrolet","Express 1500"
143697,81,68,"brown","Black","Male","5G4A2J","Chevrolet","Volt"
145119,72,50,"brown","Green","Male","RXBM2E","Chevrolet","Suburban 1500"
153224,24,74,"brown","Blonde","Male","K61DNC","Chevrolet","Equinox"
165013,68,51,"brown","Grey","Male","74X506","Chevrolet","Express 1500"
171555,34,52,"brown","Red","Male","2822R1","Chevrolet","Classic"
176376,80,60,"brown","Black","Male","32EGLZ","Chevrolet","Suburban 1500"
178061,84,53,"brown","Black","Male","18LQU2","Chevrolet","Express 3500"
185184,45,65,"brown","Brown","Male","60PX42","Chevrolet","Trailblazer"
201011,29,50,"brown","Blonde","Male","FT5AOZ","Chevrolet","Monte Carlo"
232759,75,82,"brown","Red","Male","JJYI8F","Chevrolet","Silverado 3500"
262944,21,50,"brown","Black","Male","TL0N26","Chevrolet","Colorado"
272261,42,68,"brown","Blue","Male","H4S07B","Chevrolet","Metro"
299638,23,81,"brown","Blonde","Male","TG7GR7","Chevrolet","Malibu"
304379,37,66,"brown","Blonde","Male","HQ8K57","Chevrolet","Tahoe"
316751,88,81,"brown","Blue","Male","AU2M8Q","Chevrolet","S10"
322803,80,79,"brown","Brown","Male","XJR202","Chevrolet","Cruze"
323711,62,60,"brown","Grey","Male","WC06L5","Chevrolet","Express 2500"
340007,29,58,"brown","Green","Male","6ICKWI","Chevrolet","Malibu"
340593,60,72,"brown","Red","Male","T31TN6","Chevrolet","Suburban 1500"
364080,57,72,"brown","White","Male","ZHK6N7","Chevrolet","Malibu"
379352,73,77,"brown","Black","Male","F3U1TL","Chevrolet","Avalanche"
405098,53,71,"brown","Brown","Male","JZ7143","Chevrolet","SSR"
418059,71,74,"brown","Red","Male","2C33X0","Chevrolet","Cruze"
423327,30,70,"brown","Brown","Male","0H42W2","Chevrolet","Spark LS"
461809,81,52,"brown","Blue","Male","V35KC5","Chevrolet","Express 2500"
476171,88,55,"brown","Blue","Male","65ZV7P","Chevrolet","Equinox"
480277,80,77,"brown","White","Male","573OOW","Chevrolet","Monte Carlo"
489236,31,81,"brown","Green","Male","355018","Chevrolet","Corvette"
490517,35,75,"brown","Grey","Male","7745QR","Chevrolet","Express 3500"
497197,53,69,"brown","White","Male","68YS0N","Chevrolet","Venture"
502148,65,59,"brown","White","Male","I0XSCH","Chevrolet","Lumina"
508614,63,82,"brown","Blonde","Male","6WCM62","Chevrolet","Cavalier"
511102,80,71,"brown","Red","Male","JK76C3","Chevrolet","Suburban 1500"
526567,49,81,"brown","White","Male","26U60T","Chevrolet","S10"
529376,28,61,"brown","Blonde","Male","HIIKA5","Chevrolet","Express 1500"
539898,65,64,"brown","Green","Male","WBS367","Chevrolet","Express 3500"
546691,66,55,"brown","Grey","Male","T1PQLQ","Chevrolet","Suburban 2500"
550933,47,71,"brown","Red","Male","P557T8","Chevrolet","Tahoe"
567498,72,56,"brown","Red","Male","81F8K4","Chevrolet","Aveo"
570927,30,66,"brown","Blonde","Male","KQ5P3D","Chevrolet","Express 3500"
589589,20,64,"brown","Black","Male","1NM156","Chevrolet","Suburban"
590411,39,78,"brown","Blonde","Male","8465V0","Chevrolet","Express 2500"
619438,81,57,"brown","Blue","Male","6G5XH5","Chevrolet","Traverse"
622146,61,82,"brown","Blonde","Male","2PJB38","Chevrolet","G-Series 1500"
630388,41,67,"brown","White","Male","88GZ1N","Chevrolet","Impala"
631294,32,64,"brown","Brown","Male","0VR473","Chevrolet","Equinox"
645883,55,71,"brown","Blonde","Male","4PA25K","Chevrolet","Silverado 1500"
652272,53,67,"brown","Black","Male","6W2G35","Chevrolet","Tahoe"
657847,31,53,"brown","White","Male","RE7K1B","Chevrolet","Venture"
665439,46,77,"brown","Red","Male","58302J","Chevrolet","Sonic"
669453,87,68,"brown","Red","Male","K80K3U","Chevrolet","Monte Carlo"
681544,57,63,"brown","Black","Male","UL46Y7","Chevrolet","Colorado"
695477,26,61,"brown","Grey","Male","Y5T48M","Chevrolet","Metro"
699201,69,54,"brown","Blue","Male","DQRT2J","Chevrolet","2500"
708058,75,71,"brown","Brown","Male","68NP78","Chevrolet","Astro"
722871,58,59,"brown","Black","Male","148J5W","Chevrolet","Aveo"
725125,48,74,"brown","Blonde","Male","2412M8","Chevrolet","Express 3500"
731724,77,55,"brown","Green","Male","84362N","Chevrolet","Equinox"
737174,39,50,"brown","Blue","Male","VERSE6","Chevrolet","Metro"
744801,82,82,"brown","Blonde","Male","R20848","Chevrolet","Monte Carlo"
755764,37,62,"brown","Blonde","Male","L65JYH","Chevrolet","Monte Carlo"
775752,72,70,"brown","Black","Male","18JFZW","Chevrolet","Aveo"
780659,44,50,"brown","Green","Male","H17GA7","Chevrolet","Express 1500"
786182,22,57,"brown","Red","Male","0E6L31","Chevrolet","Avalanche 2500"
791143,82,54,"brown","Grey","Male","O686OB","Chevrolet","Malibu"
792409,23,75,"brown","Green","Male","OAOA1L","Chevrolet","Suburban"
799980,18,74,"brown","White","Male","OX5331","Chevrolet","1500"
814996,72,80,"brown","Red","Male","KX2K8D","Chevrolet","Suburban 2500"
830546,44,51,"brown","Brown","Male","14L4BP","Chevrolet","Avalanche 1500"
842091,68,81,"brown","Blonde","Male","3NIN2Y","Chevrolet","Silverado 3500"
861898,32,58,"brown","Green","Male","H2T33P","Chevrolet","Silverado"
888312,62,74,"brown","Blonde","Male","52E2PW","Chevrolet","Impala"
896454,44,74,"brown","Green","Male","72815X","Chevrolet","Silverado 3500"
897916,45,54,"brown","Blonde","Male","25WFN7","Chevrolet","Express 2500"
932718,44,52,"brown","Red","Male","3WJ4R2","Chevrolet","Aveo"
957070,70,75,"brown","Blonde","Male","CWW50Z","Chevrolet","Avalanche"
961317,71,52,"brown","Red","Male","X4K0O7","Chevrolet","Corvette"
100280,72,57,"brown","Red","Male","P24L4U","Acura","MDX"
101568,53,78,"brown","Blue","Male","SJ57LL","Saab","9-5"
102950,56,78,"brown","Red","Male","4BR8A0","Honda","Insight"
103928,65,51,"brown","White","Male","ASEZO5","Dodge","Charger"
104883,79,55,"brown","Green","Male","E68Y06","Acura","TSX"
110139,55,50,"brown","White","Male","70JL7C","Chrysler","300M"
110833,25,81,"brown","Blue","Male","80123A","GMC","Sierra 1500"
112742,49,62,"brown","Grey","Male","7ZY11O","Pontiac","Grand Prix"
113566,77,64,"brown","Brown","Male","2AGKD3","Audi","A6"
115654,60,61,"brown","Green","Male","N8767C","Cadillac","Catera"
116042,31,63,"brown","Blonde","Male","3SN32F","Kia","Sephia"
117539,30,73,"brown","Grey","Male","C57CO2","Jaguar","XJ Series"
117726,48,70,"brown","Red","Male","7JUJCY","Honda","Civic"
117937,31,77,"brown","Black","Male","W3VLEB","Lincoln","MKX"
118365,59,79,"brown","Green","Male","PYU7AI","Mercedes-Benz","Sprinter"
118693,53,51,"brown","Grey","Male","ME18H8","Buick","LaCrosse"
118733,61,53,"brown","Grey","Male","67N08D","Audi","Allroad"
119032,68,62,"brown","Green","Male","4FLA3Q","Daewoo","Nubira"
119791,61,58,"brown","Red","Male","8KQ4H3","Cadillac","Escalade ESV"
120776,56,71,"brown","Black","Male","J7C3Z1","Infiniti","I"
121365,70,58,"brown","White","Male","SD8SK4","GMC","Safari"
122218,49,51,"brown","Green","Male","24J4W5","Nissan","Murano"
122412,44,51,"brown","Red","Male","C0276I","Honda","Accord"
124072,43,76,"brown","Grey","Male","0CYU5Q","Honda","Accord"
124386,81,56,"brown","Red","Male","06640H","Toyota","4Runner"
124573,19,61,"brown","Brown","Male","J432AB","Nissan","Pathfinder"
125430,31,68,"brown","Grey","Male","6RJ356","Lincoln","MKX"
131354,61,50,"brown","Blonde","Male","EI34QG","Mitsubishi","Outlander"
132178,19,67,"brown","Blonde","Male","A1FA58","Infiniti","JX"
132441,30,50,"brown","Red","Male","F38U28","Mazda","RX-8"
136806,30,59,"brown","White","Male","7C41P3","Mercedes-Benz","C-Class"
137011,30,79,"brown","Brown","Male","26JNOK","Ferrari","F430"
139639,78,54,"brown","Black","Male","8EN0F7","Dodge","Ram 2500 Club"
141659,79,79,"brown","Grey","Male","YF14N2","Subaru","Legacy"
143134,27,54,"brown","Grey","Male","58TL2B","Chrysler","300M"
144501,50,72,"brown","Grey","Male","FH5MP6","Lexus","SC"
145188,64,67,"brown","Blonde","Male","8M05Y8","Dodge","Dakota"
145356,75,63,"brown","Green","Male","1R7UN0","Maserati","Spyder"
145776,77,63,"brown","Black","Male","E8G431","GMC","Savana 1500"
146980,38,56,"brown","Red","Male","H2D11M","Honda","Fit"
147514,33,71,"brown","Brown","Male","0FNF51","Jeep","Wrangler"
148775,89,79,"brown","Green","Male","H8G8OS","Honda","Odyssey"
151797,83,57,"brown","Blue","Male","3KN22D","Lexus","ES"
151798,55,51,"brown","Black","Male","4IT663","Hyundai","Santa Fe"
152449,40,62,"brown","Blue","Male","O443FL","Bentley","Continental GT"
152848,18,58,"brown","Blonde","Male","4Y00IK","Mazda","Millenia"
157078,64,72,"brown","Grey","Male","WY87W8","Jeep","Commander"
157835,88,52,"brown","Brown","Male","R541TF","Nissan","Cube"
158095,64,69,"brown","Grey","Male","18C724","Volvo","C70"
159466,70,77,"brown","White","Male","N5537U","Infiniti","QX"
162236,36,56,"brown","Grey","Male","E1158F","Bentley","Arnage"
162910,44,58,"brown","Green","Male","VGN46F","Toyota","RAV4"
163125,24,64,"brown","White","Male","4N8ZGI","Hyundai","Santa Fe"
164735,78,55,"brown","Green","Male","U143OI","Buick","Regal"
165070,77,77,"brown","Blonde","Male","JJ5F5U","Maybach","57"
165907,31,77,"brown","Brown","Male","D527R4","Acura","Integra"
166556,67,67,"brown","Black","Male","3A016S","Lotus","Elise"
167434,65,50,"brown","Brown","Male","64D4K4","Buick","Park Avenue"
170574,22,50,"brown","Grey","Male","5WNL4F","Mazda","Miata MX-5"
171902,67,67,"brown","Blonde","Male","53IV06","Dodge","Intrepid"
172724,47,80,"brown","Grey","Male","GRIBFA","Aston Martin","Rapide"
172768,50,61,"brown","Red","Male","CNAC3Y","Buick","LeSabre"
175979,78,72,"brown","Blonde","Male","NJR015","Cadillac","Escalade ESV"
177994,89,71,"brown","Black","Male","DO50Z8","Suzuki","SX4"
178075,53,55,"brown","Blonde","Male","7J431N","Subaru","Outback Sport"
180400,68,80,"brown","Brown","Male","55GPW1","Honda","Element"
180661,46,64,"brown","Blue","Male","57W7W7","Infiniti","FX"
181274,32,78,"brown","Grey","Male","ZX2075","Honda","CR-V"
182515,75,76,"brown","Green","Male","00J2W7","Saab","9-2X"
183245,22,57,"brown","Blonde","Male","WIK6B7","Mitsubishi","Montero"
184605,77,77,"brown","White","Male","FGYKVJ","Acura","RDX"
185669,26,50,"brown","Green","Male","8K3QSO","Nissan","Rogue"
187338,77,56,"brown","Green","Male","463INV","Dodge","Grand Caravan"
187653,71,73,"brown","Blonde","Male","71XW80","HUMMER","H1"
190944,65,76,"brown","Black","Male","E6Z8GF","Dodge","Grand Caravan"
193822,26,62,"brown","Grey","Male","V6G4NQ","Cadillac","CTS-V"
195262,65,76,"brown","White","Male","O83KZT","Subaru","Legacy"
197095,69,52,"brown","Brown","Male","HL6K1B","Mazda","Tribute"
197418,66,79,"brown","White","Male","0G2EIX","GMC","1500 Club Coupe"
198711,81,53,"brown","Blue","Male","173N7A","BMW","760"
199210,84,81,"brown","Blue","Male","C1043C","Pontiac","Sunfire"
202280,83,51,"brown","Green","Male","5URFRS","Audi","R8"
203827,36,50,"brown","Red","Male","30BU8U","GMC","Savana 1500"
205885,51,75,"brown","Grey","Male","01661O","Honda","Accord Crosstour"
206052,29,53,"brown","Green","Male","7584XC","Subaru","Forester"
207790,54,81,"brown","White","Male","WF7AR1","Infiniti","QX"
212080,47,73,"brown","Brown","Male","2E16OI","Lexus","GX"
212986,42,65,"brown","Black","Male","E0I46D","Jeep","Liberty"
213059,54,61,"brown","Red","Male","27TKF1","Cadillac","CTS-V"
214235,72,68,"brown","Brown","Male","ZE66H1","Hyundai","Veracruz"
216689,56,69,"brown","Brown","Male","GPX6AK","GMC","Yukon Denali"
217298,55,68,"brown","Red","Male","L66R4T","Mitsubishi","Eclipse"
218534,50,67,"brown","Grey","Male","TQ806P","Buick","Regal"
219130,80,69,"brown","Blue","Male","66C41O","Dodge","Dakota Club"
219432,44,79,"brown","Grey","Male","D87EAB","Mercury","Mystique"
220205,45,67,"brown","Green","Male","V3K1MU","Pontiac","Grand Am"
220380,56,81,"brown","White","Male","Z8UW0A","Suzuki","Equator"
220461,44,67,"brown","Green","Male","2Q244W","Lexus","RX"
220527,44,60,"brown","Grey","Male","Z7R454","GMC","Yukon"
221110,40,55,"brown","Blue","Male","MGXGZ3","Mitsubishi","Galant"
221683,65,65,"brown","Brown","Male","HT0V5V","GMC","Yukon"
221769,69,60,"brown","Black","Male","5K7M20","Mitsubishi","Outlander"
223531,58,59,"brown","Grey","Male","X2MFPH","Pontiac","Grand Am"
223624,29,74,"brown","Brown","Male","D75YDZ","Audi","S6"
225993,83,65,"brown","Blonde","Male","A4J5SE","Volkswagen","New Beetle"
226283,83,55,"brown","Brown","Male","N7HZ2J","Dodge","Ram 1500 Club"
226480,69,62,"brown","Green","Male","JN56B4","Chrysler","Concorde"
229509,70,55,"brown","Red","Male","4B8AJP","Lincoln","Aviator"
229811,61,76,"brown","Black","Male","H110K0","Jeep","Wrangler"
230933,82,58,"brown","Blonde","Male","V44EAH","Cadillac","XLR"
233750,66,57,"brown","Brown","Male","8V44ZJ","Isuzu","i-Series"
233867,44,78,"brown","Blue","Male","56L244","GMC","Yukon XL 2500"
235543,58,69,"brown","White","Male","P15065","GMC","Envoy"
235946,36,64,"brown","Red","Male","66176O","Suzuki","Reno"
235990,85,76,"brown","White","Male","1656U7","Toyota","Matrix"
239258,50,56,"brown","White","Male","MN8CD2","Saab","9-3"
239564,43,51,"brown","Blue","Male","8DZ7WS","BMW","650"
239913,82,74,"brown","White","Male","8233SB","Plymouth","Neon"
240377,71,71,"brown","Green","Male","2UJ3K0","Mercedes-Benz","SLS-Class"
242261,89,75,"brown","Red","Male","U131ZP","Pontiac","Montana"
242509,35,63,"brown","Green","Male","ZS503O","Kia","Sephia"
242787,32,57,"brown","Black","Male","N6VRK1","Volvo","XC90"
243406,48,62,"brown","Red","Male","SNO645","Buick","Enclave"
244194,35,60,"brown","Green","Male","4N3B2S","Aston Martin","V12 Vantage"
244846,19,51,"brown","Red","Male","RQ3PDR","Land Rover","Range Rover"
245357,34,56,"brown","White","Male","Y1O03X","Pontiac","Grand Am"
246038,53,69,"brown","Green","Male","D6BZ27","Oldsmobile","Intrigue"
246171,35,74,"brown","Red","Male","SZJST2","Toyota","4Runner"
246239,44,69,"brown","Grey","Male","3K8WL8","Kia","Rio"
247439,51,73,"brown","Green","Male","1HI317","GMC","Sierra 2500"
249034,27,60,"brown","White","Male","SWQIGU","Kia","Carens"
251582,51,60,"brown","Blonde","Male","0YZ0X1","Toyota","Corolla"
251772,70,72,"brown","Green","Male","N75TJN","Hyundai","Elantra"
253075,64,68,"brown","White","Male","1O2XM0","GMC","Sierra 2500"
253913,75,73,"brown","Blonde","Male","GDXYUR","Volkswagen","CC"
254803,58,54,"brown","White","Male","3P60JS","BMW","M6"
255504,59,51,"brown","Red","Male","6Z6L35","Volvo","V70"
255912,53,61,"brown","Black","Male","RG3Q52","BMW","Z4"
257087,77,61,"brown","Black","Male","LBIWS6","Maserati","GranTurismo"
257411,49,80,"brown","Grey","Male","0Z6FUN","Porsche","911"
258108,33,60,"brown","Brown","Male","7A85I8","Dodge","Ram"
