Id,Person_Id,Name,Membership_Start_Date,Membership_Status
"1G205",31411,"Toshia Sininger","2017-01-25 00:00:00,000","Silver"
"4D5R1",87998,"Richie Zerphey","2017-08-08 00:00:00,000","Regular"
"W83OD",17742,"Danial Bzhyan","2017-11-27 00:00:00,000","Silver"
"T80FG",68244,"Cherilyn Raigosa","2017-06-06 00:00:00,000","Regular"
"0U51D",17301,"Archie Bardwell","2017-05-05 00:00:00,000","Regular"
"355UU",33920,"Brandi Gommer","2017-01-17 00:00:00,000","Silver"
"KE0FH",60260,"Peggy Cortes","2018-04-20 00:00:00,000","Silver"
"133ED",70618,"Marcus Lathan","2017-11-22 00:00:00,000","Silver"
"8SJ77",12526,"Fawn Lindemuth","2017-08-20 00:00:00,000","Regular"
"0F76P",55951,"Ezekiel Nurnberger","2017-12-22 00:00:00,000","Regular"
"ZAB1A",82357,"Shenna Valiente","2018-03-07 00:00:00,000","Regular"
"W5YVL",33243,"Domonique Ballengee","2017-10-29 00:00:00,000","Regular"
"07QP3",15980,"Hugh Piascik","2017-12-22 00:00:00,000","Regular"
"5O6SK",36413,"Gordon Sixt","2017-05-13 00:00:00,000","Silver"
"NJ876",13989,"Norma Gudroe","2017-02-10 00:00:00,000","Regular"
"7788A",73797,"Antone Westgate","2018-01-19 00:00:00,000","Regular"
"PEL8G",83434,"Jerald Aiola","2017-12-16 00:00:00,000","Silver"
"T2JF2",40065,"Ignacio Freistuhler","2017-03-06 00:00:00,000","Regular"
"43N05",15804,"Laurel Diab","2017-01-29 00:00:00,000","Regular"
"HI1Q5",29185,"Yukiko Vogelzang","2018-01-12 00:00:00,000","Silver"
"JQ162",11162,"Dorthy Picardi","2017-07-12 00:00:00,000","Silver"
"402DQ",92379,"Lynwood Punter","2017-01-04 00:00:00,000","Silver"
"33378",32162,"Olen Bolar","2018-03-24 00:00:00,000","Regular"
"31A6U",28007,"Magen Brach","2017-04-25 00:00:00,000","Regular"
"UK1F2",28073,"Zackary Cabotage","2017-08-18 00:00:00,000","Silver"
"NB10J",65316,"Mitzi Bakerville","2017-05-18 00:00:00,000","Silver"
"I827Y",96987,"Larraine Gamel","2017-09-11 00:00:00,000","Silver"
"30Y1F",71173,"Detra Hemeyer","2018-01-10 00:00:00,000","Silver"
"OBU3O",80489,"Wilma Sinstack","2017-02-07 00:00:00,000","Regular"
"JY514",98128,"Keith Savary","2017-02-07 00:00:00,000","Regular"
"E18IN",64073,"Lyda Mandigo","2018-03-16 00:00:00,000","Silver"
"3OOJ1",62367,"Concha Fiveash","2018-01-09 00:00:00,000","Regular"
"B5F34",73608,"George Cali","2017-12-18 00:00:00,000","Regular"
"6NAWM",53382,"Myles Marushia","2017-07-10 00:00:00,000","Regular"
"CGW3X",26187,"Hettie Macreno","2018-03-17 00:00:00,000","Silver"
"03487",73490,"Lyman Harshbarger","2017-05-29 00:00:00,000","Silver"
"7MRZ6",75743,"Brain Puthoff","2018-02-12 00:00:00,000","Silver"
"48100",68693,"Ammie Mossbarger","2017-07-26 00:00:00,000","Silver"
"K3XEZ",30558,"Roxane Bua","2017-07-10 00:00:00,000","Regular"
"530Q6",53788,"Dagny Mikez","2018-02-18 00:00:00,000","Regular"
"2303S",43058,"Willie Mazzella","2017-01-20 00:00:00,000","Regular"
"I733Y",46526,"Carolin Orellano","2018-03-25 00:00:00,000","Silver"
"AD2A5",17882,"Shaun Smeal","2017-10-20 00:00:00,000","Regular"
"1AE2H",10815,"Adriane Pelligra","2017-08-16 00:00:00,000","Silver"
"TQU5U",46224,"Jordan Gough","2018-01-31 00:00:00,000","Silver"
"YD4W4",27287,"Cecil Piraino","2017-07-12 00:00:00,000","Silver"
"7A4NF",98747,"Aleen Bergmann","2017-07-03 00:00:00,000","Silver"
"J2033",51710,"Hal Funchess","2018-03-28 00:00:00,000","Silver"
"344VM",13466,"Armando Huie","2017-10-02 00:00:00,000","Regular"
"X377L",94492,"Alicia Bernson","2017-07-22 00:00:00,000","Silver"
"RXP8M",48557,"Cruz Ewings","2018-01-11 00:00:00,000","Silver"
"7OG72",98043,"Cher Rivenbark","2018-01-23 00:00:00,000","Silver"
"CZ1H8",68418,"Roberto Spearmon","2017-06-04 00:00:00,000","Silver"
"7U8WH",64192,"Bette Mayon","2017-07-22 00:00:00,000","Silver"
"551F6",24618,"Lazaro Walterson","2018-02-03 00:00:00,000","Regular"
"MYQ6A",99462,"Darren Yahraus","2017-07-12 00:00:00,000","Silver"
"TLF67",66160,"Addie Tschirhart","2017-05-21 00:00:00,000","Regular"
"76W33",43768,"Layne Burakowski","2018-02-01 00:00:00,000","Regular"
"QN47X",53753,"Francisco Harcrow","2017-12-14 00:00:00,000","Regular"
"V5M14",79592,"Dirk Malhi","2017-06-26 00:00:00,000","Regular"
"77Q7L",10325,"Bruna Sumlin","2017-06-04 00:00:00,000","Silver"
"MZQ3U",72585,"Mohammad Kotch","2017-11-09 00:00:00,000","Silver"
"4K76L",19138,"Kimbery Pedaci","2017-09-25 00:00:00,000","Regular"
"S702J",92540,"Ladawn Boards","2017-02-01 00:00:00,000","Regular"
"2P828",38212,"Hershel Alstrom","2017-01-13 00:00:00,000","Silver"
"QSD41",73130,"Aurelio Schrage","2017-02-03 00:00:00,000","Regular"
"20U07",21727,"Alvin Fornes","2017-08-15 00:00:00,000","Silver"
"0EY7M",78357,"Lisette Husain","2017-02-27 00:00:00,000","Silver"
"TD7DF",60334,"Faustino Sanmartin","2018-04-04 00:00:00,000","Silver"
"E0ZJ2",59737,"Hank Staufenberger","2017-04-08 00:00:00,000","Silver"
"7MWHJ",31523,"Blossom Crescenzo","2018-03-09 00:00:00,000","Regular"
"8I2HW",26467,"Wayne Bonyai","2017-02-22 00:00:00,000","Silver"
"2STMK",97486,"Milan Knippers","2017-05-23 00:00:00,000","Regular"
"C581L",53262,"Monty Torrico","2017-03-07 00:00:00,000","Silver"
"WF7P1",93937,"Isaiah Bhagat","2017-06-25 00:00:00,000","Regular"
"MORMA",45428,"Nelly Schumachor","2017-02-03 00:00:00,000","Regular"
"48Z38",49550,"Tomas Baisley","2017-02-03 00:00:00,000","Silver"
"3JP0X",91432,"Herschel Deltora","2017-01-31 00:00:00,000","Silver"
"RMX31",99277,"Pia Ruthenberg","2017-11-29 00:00:00,000","Silver"
"J4ML1",48466,"Jarred Newenle","2017-04-24 00:00:00,000","Regular"
"MN1KI",43801,"Art Kunsman","2018-01-18 00:00:00,000","Silver"
"ALP65",46423,"Angel Diachenko","2017-07-17 00:00:00,000","Regular"
"8VM1U",70172,"Kurt Laplante","2017-05-24 00:00:00,000","Silver"
"5SPT1",63130,"Abe Morefield","2017-10-07 00:00:00,000","Regular"
"3S8Z0",12049,"Honey Erbentraut","2017-11-23 00:00:00,000","Regular"
"36646",89559,"Titus Ruan","2018-02-03 00:00:00,000","Regular"
"CGQ1A",99037,"Adrienne Fleishman","2017-07-18 00:00:00,000","Regular"
"4SC0G",92824,"Kennith Splett","2017-07-31 00:00:00,000","Silver"
"4MK73",87882,"Bernard Hardgrove","2017-04-27 00:00:00,000","Regular"
"82OO1",83144,"Grant Saurel","2017-02-02 00:00:00,000","Silver"
"2111X",36646,"Arlie Braig","2017-03-15 00:00:00,000","Silver"
"11ZAK",12107,"Agatha Seddon","2017-06-28 00:00:00,000","Regular"
"HM6U8",50106,"Edgar Bamba","2017-01-28 00:00:00,000","Silver"
"2V137",41693,"Wendell Dulany","2017-12-19 00:00:00,000","Silver"
"4KB72",79110,"Emile Hege","2017-05-22 00:00:00,000","Regular"
